"AIRLINE","ARRIVAL_DELAY","DEPARTURE_DELAY"
"AA",-19,-5
"AA",-11,-7
"AA",33,37
"AA",7,-3
"AA",81,90
"AA",-20,-3
"AA",-19,-7
"AA",-2,-7
"AA",9,-2
"AA",16,16
"AA",-14,-5
"AA",45,18
"AA",-25,-5
"AA",9,1
"AA",0,1
"AA",-10,0
"AA",-13,-7
"AA",31,32
"AA",25,31
"AA",-16,-3
"AA",-11,-7
"AA",-47,-10
"AA",-20,-1
"AA",-5,-5
"AA",18,-3
"AA",-5,0
"AA",-20,11
"AA",1,-10
"AA",-8,-1
"AA",-21,-8
"AA",0,-1
"AA",-8,-8
"AA",12,11
"AA",-12,-7
"AA",-22,-4
"AA",135,142
"AA",1,-7
"AA",-9,-8
"AA",-16,-8
"AA",-23,-13
"AA",2,-4
"AA",-12,-8
"AA",-19,-5
"AA",-6,5
"AA",-19,-5
"AA",-8,-4
"AA",-4,-5
"AA",-29,-6
"AA",-20,-9
"AA",-10,0
"AS",-6,-4
"AS",-4,-5
"AS",-34,-10
"AS",-14,-9
"AS",-4,-9
"AS",7,-2
"AS",-13,-7
"AS",10,-7
"AS",-20,-5
"AS",21,3
"AS",-13,-13
"AS",-15,-4
"AS",-8,-11
"AS",-26,-4
"AS",-18,-9
"AS",6,-3
"AS",-4,-8
"AS",-33,-10
"AS",0,0
"AS",2,1
"AS",-4,-7
"AS",100,100
"AS",181,217
"AS",231,223
"AS",23,-13
"AS",-1,-4
"AS",-4,-2
"AS",-13,2
"AS",0,-14
"AS",2,-9
"AS",21,17
"AS",35,14
"AS",-15,-4
"AS",9,0
"AS",3,-4
"AS",-5,-6
"AS",-7,1
"AS",-13,-5
"AS",-16,-8
"AS",17,28
"AS",-6,-3
"AS",-8,-10
"AS",42,61
"AS",-12,-5
"AS",-5,-7
"AS",-4,-5
"AS",-10,-8
"AS",31,2
"AS",2,-1
"AS",-4,-3
"B6",12,-1
"B6",24,-2
"B6",108,114
"B6",-39,-1
"B6",-24,-2
"B6",-4,12
"B6",50,-6
"B6",-9,6
"B6",44,52
"B6",8,12
"B6",-15,-1
"B6",9,-3
"B6",-19,-6
"B6",0,-3
"B6",-4,-6
"B6",-31,-6
"B6",-20,-2
"B6",97,106
"B6",44,37
"B6",-12,-5
"B6",38,0
"B6",3,11
"B6",10,-2
"B6",24,-5
"B6",-13,-6
"B6",47,40
"B6",-19,-2
"B6",5,-4
"B6",47,31
"B6",-20,-3
"B6",74,64
"B6",10,6
"B6",-19,-5
"B6",87,89
"B6",6,1
"B6",-12,-3
"B6",9,5
