"","index","airport_latitude","airport_longitude","X","MONTH","DAY","DAY_OF_WEEK","AIRLINE","ORIGIN_AIRPORT","DESTINATION_AIRPORT","SCHEDULED_ARRIVAL","ARRIVAL_TIME","ARRIVAL_DELAY","SCHEDULED_DEPARTURE","DEPARTURE_TIME","DEPARTURE_DELAY"
"1",0,44.8819999695,-93.2218017578,10,1,1,4,"DL","SEA","MSP",549,557,8,40,39,-1
"2",1,25.7931995391846,-80.2906036376953,13,1,1,4,"AA","SEA","MIA",938,939,1,100,52,-8
"3",2,32.896800994873,-97.0380020141602,35,1,1,4,"AA","SEA","DFW",1150,1206,16,555,555,0
"4",3,33.6366996765137,-84.4281005859375,143,1,1,4,"DL","SEA","ATL",1405,1418,13,630,631,1
"5",4,32.896800994873,-97.0380020141602,221,1,1,4,"AA","SEA","DFW",1250,1314,24,700,656,-4
"6",5,33.94250107,-118.4079971,226,1,1,4,"DL","SEA","LAX",933,929,-4,700,712,12
"7",6,42.2123985290527,-83.353401184082,229,1,1,4,"DL","SEA","DTW",1415,1352,-23,700,652,-8
"8",7,44.8819999695,-93.2218017578,236,1,1,4,"DL","SEA","MSP",1216,1159,-17,700,656,-4
"9",8,40.63980103,-73.77890015,266,1,1,4,"DL","SEA","JFK",1517,1455,-22,705,705,0
"10",9,40.63980103,-73.77890015,284,1,1,4,"AA","SEA","JFK",1530,1511,-19,715,710,-5
"11",10,33.6366996765137,-84.4281005859375,375,1,1,4,"DL","SEA","ATL",1528,1522,-6,745,745,0
"12",11,21.3187007904053,-157.921997070312,482,1,1,4,"DL","SEA","HNL",1229,1210,-19,815,813,-2
"13",12,41.97859955,-87.90480042,594,1,1,4,"AA","SEA","ORD",1445,1433,-12,850,849,-1
"14",13,44.8819999695,-93.2218017578,602,1,1,4,"DL","SEA","MSP",1410,1422,12,852,906,14
"15",14,32.896800994873,-97.0380020141602,666,1,1,4,"AA","SEA","DFW",1455,1457,2,905,901,-4
"16",15,42.2123985290527,-83.353401184082,765,1,1,4,"DL","SEA","DTW",1646,1627,-19,937,933,-4
"17",16,32.896800994873,-97.0380020141602,1003,1,1,4,"AA","SEA","DFW",1645,1653,8,1100,1049,-11
"18",17,40.7883987426758,-111.977996826172,1139,1,1,4,"DL","SEA","SLC",1429,1424,-5,1135,1130,-5
"19",18,42.2123985290527,-83.353401184082,1182,1,1,4,"DL","SEA","DTW",1855,1827,-28,1147,1142,-5
"20",19,33.6366996765137,-84.4281005859375,1218,1,1,4,"DL","SEA","ATL",1934,1916,-18,1155,1156,1
"21",20,40.63980103,-73.77890015,1307,1,1,4,"DL","SEA","JFK",2024,2004,-20,1215,1216,1
"22",21,33.94250107,-118.4079971,1391,1,1,4,"DL","SEA","LAX",1510,1500,-10,1239,1237,-2
"23",22,40.7883987426758,-111.977996826172,1521,1,1,4,"DL","SEA","SLC",1609,1604,-5,1315,1316,1
"24",23,32.896800994873,-97.0380020141602,1674,1,1,4,"AA","SEA","DFW",1950,2023,33,1400,1359,-1
"25",24,44.8819999695,-93.2218017578,1678,1,1,4,"DL","SEA","MSP",1916,1912,-4,1400,1407,7
"26",25,20.8985996246338,-156.429992675781,1709,1,1,4,"DL","SEA","OGG",1812,1806,-6,1410,1407,-3
"27",26,41.97859955,-87.90480042,1768,1,1,4,"AA","SEA","ORD",2025,2049,24,1435,1456,21
"28",27,33.6366996765137,-84.4281005859375,1783,1,1,4,"DL","SEA","ATL",2211,2200,-11,1440,1438,-2
"29",28,61.1744003295898,-149.996002197266,1855,1,1,4,"DL","SEA","ANC",1736,1728,-8,1500,1456,-4
"30",29,32.896800994873,-97.0380020141602,2013,1,1,4,"AA","SEA","DFW",2130,2146,16,1545,1544,-1
"31",30,40.7883987426758,-111.977996826172,2192,1,1,4,"DL","SEA","SLC",1923,1913,-10,1631,1625,-6
"32",31,33.94250107,-118.4079971,2383,1,1,4,"DL","SEA","LAX",2009,1956,-13,1735,1735,0
"33",32,21.3187007904053,-157.921997070312,2452,1,1,4,"DL","SEA","HNL",2205,2201,-4,1751,1751,0
"34",33,61.1744003295898,-149.996002197266,2881,1,1,4,"DL","SEA","ANC",2336,2320,-16,2055,2048,-7
"35",34,25.7931995391846,-80.2906036376953,3012,1,1,4,"AA","SEA","MIA",739,836,57,2305,2342,37
"36",35,39.0488014221,-84.6678009033,3015,1,1,4,"DL","SEA","CVG",624,613,-11,2310,2310,0
"37",36,32.896800994873,-97.0380020141602,3028,1,1,4,"AA","SEA","DFW",530,538,8,2350,2354,4
"38",37,33.6366996765137,-84.4281005859375,3031,1,1,4,"DL","SEA","ATL",728,735,7,2355,2349,-6
"39",38,41.97859955,-87.90480042,3039,1,2,5,"AA","SEA","ORD",620,627,7,30,31,1
"40",39,44.8819999695,-93.2218017578,3048,1,2,5,"DL","SEA","MSP",550,537,-13,40,35,-5
"41",40,25.7931995391846,-80.2906036376953,3055,1,2,5,"AA","SEA","MIA",938,945,7,100,49,-11
"42",41,32.896800994873,-97.0380020141602,3098,1,2,5,"AA","SEA","DFW",1150,1141,-9,555,548,-7
"43",42,42.2123985290527,-83.353401184082,3150,1,2,5,"DL","SEA","DTW",1312,1258,-14,600,557,-3
"44",43,40.7883987426758,-111.977996826172,3175,1,2,5,"DL","SEA","SLC",859,856,-3,600,557,-3
"45",44,33.6366996765137,-84.4281005859375,3282,1,2,5,"DL","SEA","ATL",1405,1415,10,630,628,-2
"46",45,44.8819999695,-93.2218017578,3337,1,2,5,"DL","SEA","MSP",1201,1154,-7,645,647,2
"47",46,32.896800994873,-97.0380020141602,3392,1,2,5,"AA","SEA","DFW",1250,1309,19,700,708,8
"48",47,40.63980103,-73.77890015,3456,1,2,5,"DL","SEA","JFK",1516,1755,159,705,1004,179
"49",48,40.7883987426758,-111.977996826172,3477,1,2,5,"DL","SEA","SLC",1009,1000,-9,710,709,-1
"50",49,40.63980103,-73.77890015,3482,1,2,5,"AA","SEA","JFK",1530,1526,-4,715,731,16
"51",50,33.6366996765137,-84.4281005859375,3625,1,2,5,"DL","SEA","ATL",1528,1529,1,745,742,-3
"52",51,21.3187007904053,-157.921997070312,3751,1,2,5,"DL","SEA","HNL",1229,1222,-7,815,812,-3
"53",52,41.97859955,-87.90480042,3895,1,2,5,"AA","SEA","ORD",1445,1446,1,850,859,9
"54",53,44.8819999695,-93.2218017578,3904,1,2,5,"DL","SEA","MSP",1409,1403,-6,852,851,-1
"55",54,32.896800994873,-97.0380020141602,3964,1,2,5,"AA","SEA","DFW",1455,1450,-5,905,901,-4
"56",55,42.2123985290527,-83.353401184082,4059,1,2,5,"DL","SEA","DTW",1647,1625,-22,937,931,-6
"57",56,33.6366996765137,-84.4281005859375,4093,1,2,5,"DL","SEA","ATL",1722,1742,20,945,1009,24
"58",57,40.7883987426758,-111.977996826172,4169,1,2,5,"DL","SEA","SLC",1256,1244,-12,1003,957,-6
"59",58,32.896800994873,-97.0380020141602,4360,1,2,5,"AA","SEA","DFW",1645,1840,115,1100,1249,109
"60",59,44.8819999695,-93.2218017578,4521,1,2,5,"DL","SEA","MSP",1650,1708,18,1140,1152,12
"61",60,40.63980103,-73.77890015,4522,1,2,5,"DL","SEA","JFK",1949,1948,-1,1140,1140,0
"62",61,42.2123985290527,-83.353401184082,4547,1,2,5,"DL","SEA","DTW",1855,1910,15,1147,1209,22
"63",62,41.97859955,-87.90480042,4560,1,2,5,"AA","SEA","ORD",1750,1752,2,1150,1150,0
"64",63,33.6366996765137,-84.4281005859375,4585,1,2,5,"DL","SEA","ATL",1934,1952,18,1155,1155,0
"65",64,61.1744003295898,-149.996002197266,4705,1,2,5,"DL","SEA","ANC",1500,1518,18,1220,1227,7
"66",65,33.94250107,-118.4079971,4730,1,2,5,"DL","SEA","LAX",1500,NA,NA,1229,NA,NA
"67",66,44.8819999695,-93.2218017578,4887,1,2,5,"DL","SEA","MSP",1831,1840,9,1313,1313,0
"68",67,40.7883987426758,-111.977996826172,4906,1,2,5,"DL","SEA","SLC",1605,1626,21,1315,1344,29
"69",68,32.896800994873,-97.0380020141602,5084,1,2,5,"AA","SEA","DFW",1950,1944,-6,1400,1355,-5
"70",69,42.2123985290527,-83.353401184082,5093,1,2,5,"DL","SEA","DTW",2100,2327,147,1400,1639,159
"71",70,20.8985996246338,-156.429992675781,5129,1,2,5,"DL","SEA","OGG",1812,1837,25,1410,1405,-5
"72",71,41.97859955,-87.90480042,5208,1,2,5,"AA","SEA","ORD",2025,53,268,1435,1910,275
"73",72,33.6366996765137,-84.4281005859375,5223,1,2,5,"DL","SEA","ATL",2211,2252,41,1440,1442,2
"74",73,61.1744003295898,-149.996002197266,5310,1,2,5,"DL","SEA","ANC",1736,1750,14,1500,1501,1
"75",74,32.896800994873,-97.0380020141602,5470,1,2,5,"AA","SEA","DFW",2130,2350,140,1545,1749,124
"76",75,44.8819999695,-93.2218017578,5487,1,2,5,"DL","SEA","MSP",2101,2322,141,1549,1824,155
